#### Sala 3 #######################################################
#id	#iddato #valor	#id_siguiente
#Secreto
92	89	0	93
93	90	0	94
94	91	0	0

#### Sala 4 ######################################################
#Secreto
95	92	0	96
96	93	0	97
97	94	0	0

#### Sala 5 #######################################################
#id	#iddato #on 	#off #id_siguiente
#Abrir puerta...
5	5	0	6
6	6	0	84
84	81	0	85
85	82	0	0

#### Sala 7 #######################################################

#id	#iddato #on 	#off #id_siguiente
#Interruptor que quita el bloque temporalmente: temporizador...
1	1	1	0

#Cadena que hace desaparecer...
2	4	0	86
86	84	0	87
87	85	0	90
90	88	0	0

#Y reaparecer, plus reactivar interruptor.
3	3	1	4
4	2	0	88
88	86	0	89
89	87	0	91
91	88	0	0

#Secreto
98	95	0	99
99	96	0	100
100	97	0	0

#### Sala 8 ###########################################################
#Secreto
101	98	0	102
102	99	0	103
103	100	0	0

### Sala 10 ####################################
# Sonido llamas
272	266	0	0

407	398	0	408
408	399	0	409
409	400	0	0

#Mensaje amuleto
410	401	0	0

#### Sala 11 ###########################################################
#Secreto
104	101	0	105
105	102	0	106
106	103	0	0

#### Sala 13-15 #######################################################
#Abrir puerta...
7	7	0	8
8	8	0	274

#Sonido palanca
274	268	0	0

#### Sala 14-15 #######################################################
#Solidificar lava...
9	9	1	10
10	10	20	11

#Cambiar muros lava...
11	11	44	273

#Sonido palanca
273	267	0	0

#### Sala 15 ##################################
#Abrir puerta y sonido
411	402	0	412
412	403	0	413
413	404	0	0

#Mensaje amuleto
414	405	0	0

#### Sala 16 ##########################################################
#Secreto uno
107	104	0	108
108	105	0	111

#Secreto dos
109	106	0	110
110	107	0	111

#Sonido de ambos...
111	108	0	0

#Escalera y sonidos
415	406	0	0

#### Sala 17 #################################
#Secreto...
577	543	0	578
578	544	0	579
579	545	0	0

#### Sala 19 ##########################################################
#Abrir puerta
316	307	0	317
317	308	0	355
355	346	0	0

#Mensaje amuleto
318	309	0	0

#### Sala 21 ##########################################################
#Plataforma oeste: llamas y puerta
12	12	0	13
13	15	0	14
14	16	0	276

#Plataforma este: llamas y llamas
15	13	0	16
16	14	0	278

#Sonido palancas, puerta, llamas
275	269	0	0


276	270	0	277
277	271	0	275

278	272	0	275

#### Sala 22 ##########################################################
#Apertura puerta...
17	17	0	18
18	18	0	279
279	273	0	0

#### Sala 24 ##########################################################
#Secreto 1
112	109	0	113
113	110	0	116

#Secreto 2
114	111	0	115
115	112	0	116

#Sonido secreto
116	113	0	0

#### Sala 26 ##########################################################
#Secreto y sonido
117	114	0	118
118	115	0	119
119	116	0	0

#### Sala 27 ##########################################################
#Aparece plataforma, desaparece escalera. Sólo tiene una posición.9
19	19	1	20
20	20	4	21
21	21	0	22
22	22	0	280

#Desaparece plataforma, aparece escalera.
23	19	0	24
24	20	0	25
25	21	1	26
26	22	3	280

#Sonido palanca
280	274	0	0

#Secreto y sonido...
120	117	0	121
121	118	0	122
122	119	0	0

#Puzzle
583	553	0	0

#Abrir puerta puzzle
584	549	0	585
585	550	4	586
586	551	0	587
587	552	0	0

#### Sala 28 ###########################################################
#Abrir puerta y reja
27	23	0	28
28	24	0	398
398	389	0	281

#Aparición bloque...
29	25	1	30
30	26	14	281

#Sonido palanca y puerta
281	275	0	0

#### Sala 29 ###########################################################
#Activar puzzle
330	321	0	0

#Abrir puerta + desaparece puzzle + sonido
331	322	0	332
332	323	0	333
333	324	0	334
334	325	0	0

#### Sala 30 ###########################################################
#Secreto y sonido
123	120	0	124
124	121	0	125
125	122	0	0

#### Sala 31 ###########################################################
#Secreto y sonido
126	123	0	127
127	124	0	128
128	125	0	0

#### Sala 32 ###########################################################
#Puerta uno
31	27	0	32
32	28	0	284

#Puerta dos... sigue en sala 36...
33	29	0	34
34	30	0	41

#Puente
35	31	1	36
36	41	7	286

#Puerta final
37	32	0	38
38	33	0	287

#Sonido puerta final
287	281	0	0

#Secreto y sonido
129	126	0	130
130	127	0	131
131	128	0	0

#Activar puzzle
335	326	0	0

#Abrir puerta puzzle, sonido y desaparecer plancha
336	327	0	337
337	328	0	338
338	329	0	339
339	330	0	0

#Apertura del puzzle.
588	554	0	589
589	555	1	590
590	556	93	591
591	557	85	592
592	558	0	593
593	559	0	0

#Activacion del puzzle.
594	560	0	0

#### Sala 33 ###########################################################
#Interruptor: fuego y dardos.
39	34	0	40
40	35	0	282

#Sonido palanca y fuego
282	276	0	283
283	277	0	0

#Secreto y sonido
133	130	0	134
134	131	0	135
135	132	0	0

#### Sala 34 ######################################################
#Sonido palanca. Viene de id 32.
284	278	0	0

#### Sala 35 ###########################################################
#Secreto y sonido
136	133	0	137
137	134	0	138
138	135	0	0

#### Sala 36 ###########################################################
#Temporizador... viene de "34" en sala 32.
41	36	1	285

#Sonido palanca
285	279	0	0

#Quitar plataformas y disparar...
42	37	0	43
43	38	0	44
44	39	0	0

#Desactivar disparo.
45	40	0	0

#### Sala 37 ###########################################################
#Secreto y sonido
152	145	0	153
153	146	0	154
154	147	0	0

#### Sala 38 ###########################################################
#Sonido palanca viene de 36 en sala 32
286	280	0	0

#Activar puzzle
600	566	0	0

#Abrir puerta, sonido, quitar plancha puzzle
601	567	0	602
602	568	0	603
603	569	0	604
604	580	0	0

#### Sala 40 ###########################################################
#Puente
46	42	1	47
47	43	18	48
48	44	1	49
49	45	93	50
50	46	1	51
51	47	92	52

#Puerta
52	48	0	53
53	49	0	288

#Sonido puerta
288	282	0	0

#### Sala 41 ###########################################################
#Puerta sótanos...
54	50	0	289
289	283	0	0

#Secreto...
155	148	0	156
156	149	0	157
157	150	0	0

#### Sala 42 ###########################################################
#Secreto
160	154	0	161
161	155	0	162
162	156	0	0

#Activar puzzle
340	331	0	0

#Abrir puerta
341	332	0	342
342	333	0	343
343	334	0	344
344	335	0	0

#### Sala 43 ##########################################################
#Secreto
163	157	0	164
164	158	0	165
165	159	0	0

#Activar puzzle
489	452	0	0

#Puerta puzzle + desparece plancha y sonido.
490	453	0	491
491	454	0	492
492	455	0	493
493	456	0	0

#### Sala 44 ###########################################################
#Convertir llama fija en patrón.
55	51	0	56
56	52	0	0

#Secreto
166	160	0	167
167	161	0	168
168	162	0	0

#### Sala 45 ##########################################################
#id	#iddato #on 	#off #id_siguiente
#Temporizador inicio...
57	53	1	0

#Cadena que apaga... Sonido palanca y reloj
58	54	0	291
291	285	0	292
292	287	0	0

#Y reaparecer, plus reactivar interruptor. Sonido reloj off.
59	55	1	60
60	56	0	293
293	288	0	0

#Abrir puerta...
61	57	0	294
294	285	0	295
295	286	0	0

178	172	0	179
179	173	0	180
180	174	0	0

#Activar puzzle
605	570	0	0

#Abrir puerta, sonido, desaparece plancha puzzle.
606	571	0	607
607	572	0	608
608	573	0	609
609	574	0	0

#### Sala 46 #########################################################
#Abrir reja
62	60	0	296
296	289	0	297
297	290	0	0

#Abrir puerta
63	58	0	64
64	59	0	298
298	289	0	299
299	290	0	0

#Secreto
181	175	0	182
182	176	0	183
183	177	0	0

#### Sala 47 #########################################################
#Activar palanca
65	61	0	66
66	62	0	300

#Desactivar palanca
67	63	0	68
68	64	0	300

#Sonidos
300	291	0	0

#Activar puzzle
610	575	0	0

#Abrir puerta, sonido, plancha
611	576	0	612
612	577	0	613
613	578	0	614
614	579	0	0

#### Sala 49 #########################################################
#Quitar fuegos
69	67	0	301
301	292	0	0

#Secreto...
